 Q11 Q12 Q21 Q22
 0.472681e+00 0.472681e+00 0.472681e+00 0.472681e+00
 0.437649e+00 0.437649e+00 0.437649e+00 0.437649e+00
 0.405921e+00 0.405921e+00 0.405921e+00 0.405921e+00
 0.377125e+00 0.377125e+00 0.377125e+00 0.377125e+00
 0.350936e+00 0.350936e+00 0.350936e+00 0.350936e+00
 0.327074e+00 0.327074e+00 0.327074e+00 0.327074e+00
 0.305290e+00 0.305290e+00 0.305290e+00 0.305290e+00
 0.285370e+00 0.285370e+00 0.285370e+00 0.285370e+00
 0.267119e+00 0.267119e+00 0.267119e+00 0.267119e+00
 0.250372e+00 0.250372e+00 0.250372e+00 0.250372e+00
 0.234979e+00 0.234979e+00 0.234979e+00 0.234979e+00
 0.220811e+00 0.220811e+00 0.220811e+00 0.220811e+00
 0.207748e+00 0.207748e+00 0.207748e+00 0.207748e+00
 0.195688e+00 0.195688e+00 0.195688e+00 0.195688e+00
 0.183802e+00 0.183802e+00 0.183802e+00 0.183802e+00
 0.172753e+00 0.172753e+00 0.172753e+00 0.172753e+00
 0.162547e+00 0.162547e+00 0.162547e+00 0.162547e+00
 0.132420e+00 0.132420e+00 0.132420e+00 0.132420e+00
 0.956986e-01 0.956986e-01 0.956986e-01 0.956986e-01
 0.712057e-01 0.712057e-01 0.712057e-01 0.712057e-01
 0.543192e-01 0.543192e-01 0.543192e-01 0.543192e-01
 0.423415e-01 0.423415e-01 0.423415e-01 0.423415e-01
 0.336339e-01 0.336339e-01 0.336339e-01 0.336339e-01
 0.271655e-01 0.271655e-01 0.271655e-01 0.271655e-01
 0.222682e-01 0.222682e-01 0.222682e-01 0.222682e-01
 0.184971e-01 0.184971e-01 0.184971e-01 0.184971e-01
 0.155489e-01 0.155489e-01 0.155489e-01 0.155489e-01
 0.132122e-01 0.132122e-01 0.132122e-01 0.132122e-01
 0.113373e-01 0.113373e-01 0.113373e-01 0.113373e-01
 0.981586e-02 0.981586e-02 0.981586e-02 0.981586e-02
 0.856852e-02 0.856852e-02 0.856852e-02 0.856852e-02
 0.753623e-02 0.753623e-02 0.753623e-02 0.753623e-02
 0.667448e-02 0.667448e-02 0.667448e-02 0.667448e-02
 0.594933e-02 0.594933e-02 0.594933e-02 0.594933e-02
 0.533459e-02 0.533459e-02 0.533459e-02 0.533459e-02
 0.480986e-02 0.480986e-02 0.480986e-02 0.480986e-02
 0.435909e-02 0.435909e-02 0.435909e-02 0.435909e-02
 0.396952e-02 0.396952e-02 0.396952e-02 0.396952e-02
 0.363098e-02 0.363098e-02 0.363098e-02 0.363098e-02
 0.333523e-02 0.333523e-02 0.333523e-02 0.333523e-02
 0.307559e-02 0.307559e-02 0.307559e-02 0.307559e-02
 0.284660e-02 0.284660e-02 0.284660e-02 0.284660e-02
 0.264377e-02 0.264377e-02 0.264377e-02 0.264377e-02
 0.246336e-02 0.246336e-02 0.246336e-02 0.246336e-02
 0.230227e-02 0.230227e-02 0.230227e-02 0.230227e-02
 0.215790e-02 0.215790e-02 0.215790e-02 0.215790e-02
 0.202808e-02 0.202808e-02 0.202808e-02 0.202808e-02
 0.191094e-02 0.191094e-02 0.191094e-02 0.191094e-02
 0.180491e-02 0.180491e-02 0.180491e-02 0.180491e-02
 0.170867e-02 0.170867e-02 0.170867e-02 0.170867e-02
 0.162104e-02 0.162104e-02 0.162104e-02 0.162104e-02
 0.154106e-02 0.154106e-02 0.154106e-02 0.154106e-02
 0.146785e-02 0.146785e-02 0.146785e-02 0.146785e-02
 0.140069e-02 0.140069e-02 0.140069e-02 0.140069e-02
 0.133893e-02 0.133893e-02 0.133893e-02 0.133893e-02
 0.128200e-02 0.128200e-02 0.128200e-02 0.128200e-02
 0.122941e-02 0.122941e-02 0.122941e-02 0.122941e-02
 0.118074e-02 0.118074e-02 0.118074e-02 0.118074e-02
 0.113560e-02 0.113560e-02 0.113560e-02 0.113560e-02
