 R11 R12 R21 R22
 -0.818735e-03 -0.818735e-03 -0.818735e-03 -0.818735e-03
 -0.811110e-03 -0.811110e-03 -0.811110e-03 -0.811110e-03
 -0.803629e-03 -0.803629e-03 -0.803629e-03 -0.803629e-03
 -0.796288e-03 -0.796288e-03 -0.796288e-03 -0.796288e-03
 -0.789085e-03 -0.789085e-03 -0.789085e-03 -0.789085e-03
 -0.782015e-03 -0.782015e-03 -0.782015e-03 -0.782015e-03
 -0.775074e-03 -0.775074e-03 -0.775074e-03 -0.775074e-03
 -0.768260e-03 -0.768260e-03 -0.768260e-03 -0.768260e-03
 -0.761568e-03 -0.761568e-03 -0.761568e-03 -0.761568e-03
 -0.754995e-03 -0.754995e-03 -0.754995e-03 -0.754995e-03
 -0.748539e-03 -0.748539e-03 -0.748539e-03 -0.748539e-03
 -0.742196e-03 -0.742196e-03 -0.742196e-03 -0.742196e-03
 -0.735963e-03 -0.735963e-03 -0.735963e-03 -0.735963e-03
 -0.729838e-03 -0.729838e-03 -0.729838e-03 -0.729838e-03
 -0.723817e-03 -0.723817e-03 -0.723817e-03 -0.723817e-03
 -0.717899e-03 -0.717899e-03 -0.717899e-03 -0.717899e-03
 -0.712081e-03 -0.712081e-03 -0.712081e-03 -0.712081e-03
 -0.706358e-03 -0.706358e-03 -0.706358e-03 -0.706358e-03
 -0.700730e-03 -0.700730e-03 -0.700730e-03 -0.700730e-03
 -0.695195e-03 -0.695195e-03 -0.695195e-03 -0.695195e-03
 -0.689750e-03 -0.689750e-03 -0.689750e-03 -0.689750e-03
 -0.684392e-03 -0.684392e-03 -0.684392e-03 -0.684392e-03
 -0.679121e-03 -0.679121e-03 -0.679121e-03 -0.679121e-03
 -0.673933e-03 -0.673933e-03 -0.673933e-03 -0.673933e-03
 -0.668826e-03 -0.668826e-03 -0.668826e-03 -0.668826e-03
 -0.663800e-03 -0.663800e-03 -0.663800e-03 -0.663800e-03
 -0.658851e-03 -0.658851e-03 -0.658851e-03 -0.658851e-03
 -0.653979e-03 -0.653979e-03 -0.653979e-03 -0.653979e-03
