 R11 R12 R21 R22
 -0.110293e-03 -0.110293e-03 -0.110293e-03 -0.110293e-03
 -0.105768e-03 -0.105768e-03 -0.105768e-03 -0.105768e-03
 -0.101491e-03 -0.101491e-03 -0.101491e-03 -0.101491e-03
 -0.974456e-04 -0.974456e-04 -0.974456e-04 -0.974456e-04
 -0.936154e-04 -0.936154e-04 -0.936154e-04 -0.936154e-04
 -0.899860e-04 -0.899860e-04 -0.899860e-04 -0.899860e-04
 -0.865442e-04 -0.865442e-04 -0.865442e-04 -0.865442e-04
 -0.832779e-04 -0.832779e-04 -0.832779e-04 -0.832779e-04
 -0.801758e-04 -0.801758e-04 -0.801758e-04 -0.801758e-04
 -0.772275e-04 -0.772275e-04 -0.772275e-04 -0.772275e-04
 -0.744234e-04 -0.744234e-04 -0.744234e-04 -0.744234e-04
 -0.717546e-04 -0.717546e-04 -0.717546e-04 -0.717546e-04
 -0.692130e-04 -0.692130e-04 -0.692130e-04 -0.692130e-04
 -0.667909e-04 -0.667909e-04 -0.667909e-04 -0.667909e-04
 -0.644813e-04 -0.644813e-04 -0.644813e-04 -0.644813e-04
 -0.622776e-04 -0.622776e-04 -0.622776e-04 -0.622776e-04
 -0.601738e-04 -0.601738e-04 -0.601738e-04 -0.601738e-04
 -0.581641e-04 -0.581641e-04 -0.581641e-04 -0.581641e-04
 -0.562434e-04 -0.562434e-04 -0.562434e-04 -0.562434e-04
 -0.544066e-04 -0.544066e-04 -0.544066e-04 -0.544066e-04
 -0.526491e-04 -0.526491e-04 -0.526491e-04 -0.526491e-04
 -0.509668e-04 -0.509668e-04 -0.509668e-04 -0.509668e-04
 -0.493555e-04 -0.493555e-04 -0.493555e-04 -0.493555e-04
 -0.478116e-04 -0.478116e-04 -0.478116e-04 -0.478116e-04
 -0.463314e-04 -0.463314e-04 -0.463314e-04 -0.463314e-04
 -0.449118e-04 -0.449118e-04 -0.449118e-04 -0.449118e-04
 -0.435496e-04 -0.435496e-04 -0.435496e-04 -0.435496e-04
 -0.422420e-04 -0.422420e-04 -0.422420e-04 -0.422420e-04
 -0.409861e-04 -0.409861e-04 -0.409861e-04 -0.409861e-04
 -0.397795e-04 -0.397795e-04 -0.397795e-04 -0.397795e-04
 -0.386198e-04 -0.386198e-04 -0.386198e-04 -0.386198e-04
 -0.375046e-04 -0.375046e-04 -0.375046e-04 -0.375046e-04
 -0.364319e-04 -0.364319e-04 -0.364319e-04 -0.364319e-04
 -0.353996e-04 -0.353996e-04 -0.353996e-04 -0.353996e-04
 -0.344059e-04 -0.344059e-04 -0.344059e-04 -0.344059e-04
 -0.334489e-04 -0.334489e-04 -0.334489e-04 -0.334489e-04
 -0.325269e-04 -0.325269e-04 -0.325269e-04 -0.325269e-04
 -0.316385e-04 -0.316385e-04 -0.316385e-04 -0.316385e-04
 -0.307819e-04 -0.307819e-04 -0.307819e-04 -0.307819e-04
 -0.299560e-04 -0.299560e-04 -0.299560e-04 -0.299560e-04
 -0.291592e-04 -0.291592e-04 -0.291592e-04 -0.291592e-04
 -0.283902e-04 -0.283902e-04 -0.283902e-04 -0.283902e-04
 -0.276480e-04 -0.276480e-04 -0.276480e-04 -0.276480e-04
 -0.269313e-04 -0.269313e-04 -0.269313e-04 -0.269313e-04
 -0.262391e-04 -0.262391e-04 -0.262391e-04 -0.262391e-04
 -0.255703e-04 -0.255703e-04 -0.255703e-04 -0.255703e-04
 -0.249239e-04 -0.249239e-04 -0.249239e-04 -0.249239e-04
 -0.242990e-04 -0.242990e-04 -0.242990e-04 -0.242990e-04
 -0.236948e-04 -0.236948e-04 -0.236948e-04 -0.236948e-04
 -0.231103e-04 -0.231103e-04 -0.231103e-04 -0.231103e-04
 -0.225447e-04 -0.225447e-04 -0.225447e-04 -0.225447e-04
 -0.219974e-04 -0.219974e-04 -0.219974e-04 -0.219974e-04
 -0.214676e-04 -0.214676e-04 -0.214676e-04 -0.214676e-04
 -0.209545e-04 -0.209545e-04 -0.209545e-04 -0.209545e-04
 -0.204576e-04 -0.204576e-04 -0.204576e-04 -0.204576e-04
 -0.199762e-04 -0.199762e-04 -0.199762e-04 -0.199762e-04
 -0.195097e-04 -0.195097e-04 -0.195097e-04 -0.195097e-04
 -0.190575e-04 -0.190575e-04 -0.190575e-04 -0.190575e-04
 -0.186192e-04 -0.186192e-04 -0.186192e-04 -0.186192e-04
 -0.181941e-04 -0.181941e-04 -0.181941e-04 -0.181941e-04
 -0.177817e-04 -0.177817e-04 -0.177817e-04 -0.177817e-04
 -0.173817e-04 -0.173817e-04 -0.173817e-04 -0.173817e-04
 -0.169935e-04 -0.169935e-04 -0.169935e-04 -0.169935e-04
 -0.166167e-04 -0.166167e-04 -0.166167e-04 -0.166167e-04
 -0.162509e-04 -0.162509e-04 -0.162509e-04 -0.162509e-04
 -0.158957e-04 -0.158957e-04 -0.158957e-04 -0.158957e-04
 -0.155508e-04 -0.155508e-04 -0.155508e-04 -0.155508e-04
 -0.152157e-04 -0.152157e-04 -0.152157e-04 -0.152157e-04
 -0.148900e-04 -0.148900e-04 -0.148900e-04 -0.148900e-04
 -0.145736e-04 -0.145736e-04 -0.145736e-04 -0.145736e-04
 -0.142660e-04 -0.142660e-04 -0.142660e-04 -0.142660e-04
 -0.139670e-04 -0.139670e-04 -0.139670e-04 -0.139670e-04
 -0.136763e-04 -0.136763e-04 -0.136763e-04 -0.136763e-04
 -0.133935e-04 -0.133935e-04 -0.133935e-04 -0.133935e-04
 -0.131184e-04 -0.131184e-04 -0.131184e-04 -0.131184e-04
 -0.128507e-04 -0.128507e-04 -0.128507e-04 -0.128507e-04
 -0.125903e-04 -0.125903e-04 -0.125903e-04 -0.125903e-04
 -0.123368e-04 -0.123368e-04 -0.123368e-04 -0.123368e-04
 -0.120900e-04 -0.120900e-04 -0.120900e-04 -0.120900e-04
 -0.118497e-04 -0.118497e-04 -0.118497e-04 -0.118497e-04
 -0.116157e-04 -0.116157e-04 -0.116157e-04 -0.116157e-04
 -0.113878e-04 -0.113878e-04 -0.113878e-04 -0.113878e-04
 -0.111658e-04 -0.111658e-04 -0.111658e-04 -0.111658e-04
 -0.109496e-04 -0.109496e-04 -0.109496e-04 -0.109496e-04
 -0.107388e-04 -0.107388e-04 -0.107388e-04 -0.107388e-04
 -0.105334e-04 -0.105334e-04 -0.105334e-04 -0.105334e-04
 -0.103331e-04 -0.103331e-04 -0.103331e-04 -0.103331e-04
 -0.101379e-04 -0.101379e-04 -0.101379e-04 -0.101379e-04
 -0.994758e-05 -0.994758e-05 -0.994758e-05 -0.994758e-05
 -0.976205e-05 -0.976205e-05 -0.976205e-05 -0.976205e-05
 -0.958098e-05 -0.958098e-05 -0.958098e-05 -0.958098e-05
 -0.940434e-05 -0.940434e-05 -0.940434e-05 -0.940434e-05
 -0.923199e-05 -0.923199e-05 -0.923199e-05 -0.923199e-05
 -0.906381e-05 -0.906381e-05 -0.906381e-05 -0.906381e-05
 -0.889967e-05 -0.889967e-05 -0.889967e-05 -0.889967e-05
 -0.873946e-05 -0.873946e-05 -0.873946e-05 -0.873946e-05
 -0.858305e-05 -0.858305e-05 -0.858305e-05 -0.858305e-05
 -0.843034e-05 -0.843034e-05 -0.843034e-05 -0.843034e-05
 -0.828121e-05 -0.828121e-05 -0.828121e-05 -0.828121e-05
 -0.813557e-05 -0.813557e-05 -0.813557e-05 -0.813557e-05
 -0.799330e-05 -0.799330e-05 -0.799330e-05 -0.799330e-05
 -0.785432e-05 -0.785432e-05 -0.785432e-05 -0.785432e-05
 -0.771853e-05 -0.771853e-05 -0.771853e-05 -0.771853e-05
 -0.758585e-05 -0.758585e-05 -0.758585e-05 -0.758585e-05
 -0.745617e-05 -0.745617e-05 -0.745617e-05 -0.745617e-05
 -0.732942e-05 -0.732942e-05 -0.732942e-05 -0.732942e-05
 -0.720552e-05 -0.720552e-05 -0.720552e-05 -0.720552e-05
 -0.708438e-05 -0.708438e-05 -0.708438e-05 -0.708438e-05
 -0.696594e-05 -0.696594e-05 -0.696594e-05 -0.696594e-05
 -0.685011e-05 -0.685011e-05 -0.685011e-05 -0.685011e-05
 -0.673682e-05 -0.673682e-05 -0.673682e-05 -0.673682e-05
 -0.662602e-05 -0.662602e-05 -0.662602e-05 -0.662602e-05
 -0.651762e-05 -0.651762e-05 -0.651762e-05 -0.651762e-05
 -0.641156e-05 -0.641156e-05 -0.641156e-05 -0.641156e-05
 -0.630778e-05 -0.630778e-05 -0.630778e-05 -0.630778e-05
 -0.620623e-05 -0.620623e-05 -0.620623e-05 -0.620623e-05
 -0.610683e-05 -0.610683e-05 -0.610683e-05 -0.610683e-05
 -0.600954e-05 -0.600954e-05 -0.600954e-05 -0.600954e-05
 -0.591430e-05 -0.591430e-05 -0.591430e-05 -0.591430e-05
 -0.582106e-05 -0.582106e-05 -0.582106e-05 -0.582106e-05
 -0.572975e-05 -0.572975e-05 -0.572975e-05 -0.572975e-05
 -0.564035e-05 -0.564035e-05 -0.564035e-05 -0.564035e-05
 -0.555278e-05 -0.555278e-05 -0.555278e-05 -0.555278e-05
 -0.546702e-05 -0.546702e-05 -0.546702e-05 -0.546702e-05
 -0.538300e-05 -0.538300e-05 -0.538300e-05 -0.538300e-05
 -0.530070e-05 -0.530070e-05 -0.530070e-05 -0.530070e-05
 -0.522006e-05 -0.522006e-05 -0.522006e-05 -0.522006e-05
 -0.514104e-05 -0.514104e-05 -0.514104e-05 -0.514104e-05
 -0.506360e-05 -0.506360e-05 -0.506360e-05 -0.506360e-05
 -0.498771e-05 -0.498771e-05 -0.498771e-05 -0.498771e-05
 -0.491332e-05 -0.491332e-05 -0.491332e-05 -0.491332e-05
 -0.484040e-05 -0.484040e-05 -0.484040e-05 -0.484040e-05
 -0.595181e+03 -0.595181e+03 -0.595181e+03 -0.595181e+03
 -0.374764e+03 -0.374764e+03 -0.374764e+03 -0.374764e+03
 -0.211409e+03 -0.211409e+03 -0.211409e+03 -0.211409e+03
 -0.125822e+03 -0.125822e+03 -0.125822e+03 -0.125822e+03
 -0.797717e+02 -0.797717e+02 -0.797717e+02 -0.797717e+02
 -0.533763e+02 -0.533763e+02 -0.533763e+02 -0.533763e+02
 -0.373166e+02 -0.373166e+02 -0.373166e+02 -0.373166e+02
 -0.270342e+02 -0.270342e+02 -0.270342e+02 -0.270342e+02
