 Q11 Q12 Q21 Q22
 0.230739e-02 0.230739e-02 0.230739e-02 0.230739e-02
 0.229245e-02 0.229245e-02 0.229245e-02 0.229245e-02
 0.227779e-02 0.227779e-02 0.227779e-02 0.227779e-02
 0.226338e-02 0.226338e-02 0.226338e-02 0.226338e-02
 0.224923e-02 0.224923e-02 0.224923e-02 0.224923e-02
 0.223533e-02 0.223533e-02 0.223533e-02 0.223533e-02
 0.222167e-02 0.222167e-02 0.222167e-02 0.222167e-02
 0.220824e-02 0.220824e-02 0.220824e-02 0.220824e-02
 0.219504e-02 0.219504e-02 0.219504e-02 0.219504e-02
 0.218206e-02 0.218206e-02 0.218206e-02 0.218206e-02
 0.216929e-02 0.216929e-02 0.216929e-02 0.216929e-02
 0.215674e-02 0.215674e-02 0.215674e-02 0.215674e-02
 0.214438e-02 0.214438e-02 0.214438e-02 0.214438e-02
 0.213223e-02 0.213223e-02 0.213223e-02 0.213223e-02
