 log(Tmax/T) T/MeV k/T
 0.000000e+00 0.100000e+11 0.102518e+02
 0.000000e+00 0.100000e+11 0.103149e+02
 0.000000e+00 0.100000e+11 0.103780e+02
 0.000000e+00 0.100000e+11 0.104411e+02
 0.000000e+00 0.100000e+11 0.105042e+02
 0.000000e+00 0.100000e+11 0.105673e+02
 0.000000e+00 0.100000e+11 0.106304e+02
 0.000000e+00 0.100000e+11 0.106934e+02
 0.000000e+00 0.100000e+11 0.107565e+02
 0.000000e+00 0.100000e+11 0.108196e+02
 0.000000e+00 0.100000e+11 0.108827e+02
 0.000000e+00 0.100000e+11 0.109458e+02
 0.000000e+00 0.100000e+11 0.110089e+02
 0.000000e+00 0.100000e+11 0.110720e+02
 0.000000e+00 0.100000e+11 0.111351e+02
 0.000000e+00 0.100000e+11 0.111981e+02
 0.000000e+00 0.100000e+11 0.112612e+02
 0.000000e+00 0.100000e+11 0.113243e+02
 0.000000e+00 0.100000e+11 0.113874e+02
 0.000000e+00 0.100000e+11 0.114505e+02
 0.000000e+00 0.100000e+11 0.115136e+02
 0.000000e+00 0.100000e+11 0.115767e+02
 0.000000e+00 0.100000e+11 0.116398e+02
 0.000000e+00 0.100000e+11 0.117029e+02
 0.000000e+00 0.100000e+11 0.117659e+02
 0.000000e+00 0.100000e+11 0.118290e+02
 0.000000e+00 0.100000e+11 0.118921e+02
 0.000000e+00 0.100000e+11 0.119552e+02
 0.000000e+00 0.100000e+11 0.120183e+02
 0.000000e+00 0.100000e+11 0.120814e+02
 0.000000e+00 0.100000e+11 0.121445e+02
 0.000000e+00 0.100000e+11 0.122076e+02
 0.000000e+00 0.100000e+11 0.122706e+02
 0.000000e+00 0.100000e+11 0.123337e+02
 0.000000e+00 0.100000e+11 0.123968e+02
 0.000000e+00 0.100000e+11 0.124599e+02
 0.000000e+00 0.100000e+11 0.125230e+02
 0.000000e+00 0.100000e+11 0.125861e+02
 0.578539e-01 0.943788e+10 0.157719e-01
 0.578539e-01 0.943788e+10 0.262866e-01
 0.578539e-01 0.943788e+10 0.368012e-01
 0.578539e-01 0.943788e+10 0.473158e-01
 0.578539e-01 0.943788e+10 0.578304e-01
 0.578539e-01 0.943788e+10 0.683450e-01
 0.578539e-01 0.943788e+10 0.788597e-01
 0.578539e-01 0.943788e+10 0.893743e-01
 0.578539e-01 0.943788e+10 0.998889e-01
 0.578539e-01 0.943788e+10 0.110404e+00
 0.578539e-01 0.943788e+10 0.120918e+00
 0.578539e-01 0.943788e+10 0.131433e+00
 0.578539e-01 0.943788e+10 0.141947e+00
 0.578539e-01 0.943788e+10 0.152462e+00
 0.578539e-01 0.943788e+10 0.162977e+00
 0.578539e-01 0.943788e+10 0.173491e+00
 0.578539e-01 0.943788e+10 0.184006e+00
 0.578539e-01 0.943788e+10 0.194520e+00
 0.578539e-01 0.943788e+10 0.205035e+00
 0.578539e-01 0.943788e+10 0.215550e+00
 0.578539e-01 0.943788e+10 0.226064e+00
 0.578539e-01 0.943788e+10 0.236579e+00
 0.578539e-01 0.943788e+10 0.247094e+00
 0.578539e-01 0.943788e+10 0.257608e+00
 0.578539e-01 0.943788e+10 0.268123e+00
 0.578539e-01 0.943788e+10 0.278637e+00
 0.578539e-01 0.943788e+10 0.289152e+00
 0.578539e-01 0.943788e+10 0.299667e+00
 0.578539e-01 0.943788e+10 0.310181e+00
