M_GeV T_GeV <g1>/T
2.999999999999999889e-01 7.564633275546290912e+06 7.027019354051121554e-03
2.999999999999999889e-01 8.302175681319751777e+06 7.012954922210924875e-03
2.999999999999999889e-01 9.111627561154887080e+06 7.005971181455472770e-03
2.999999999999999889e-01 1.000000000000000000e+07 6.992091675030903328e-03
5.000000000000000000e-01 1.000000000000000000e+02 1.756266112527866269e-02
5.000000000000000000e-01 1.023531021899025859e+02 1.694165676190712358e-02
5.000000000000000000e-01 1.047615752789664043e+02 1.640948780001980425e-02
5.000000000000000000e-01 1.072267222010323167e+02 1.580152990273699792e-02
5.000000000000000000e-01 1.097498765493055686e+02 1.521093015229174790e-02
5.000000000000000000e-01 1.123324032978026565e+02 1.465571682653108755e-02
5.000000000000000000e-01 1.149756995397735579e+02 1.414590263553399362e-02
5.000000000000000000e-01 1.176811952434997863e+02 1.368671160822453048e-02
5.000000000000000000e-01 1.204503540258782408e+02 1.328284680464482739e-02
5.000000000000000000e-01 1.232846739442065882e+02 1.291946933084298088e-02
5.000000000000000000e-01 1.261856883066019748e+02 1.260283655310672456e-02
5.000000000000000000e-01 1.291549665014883885e+02 1.230158559349263034e-02
5.000000000000000000e-01 1.321941148466028721e+02 1.203467210180153048e-02
5.000000000000000000e-01 1.353047774579807481e+02 1.180257172288794176e-02
5.000000000000000000e-01 1.384886371393873219e+02 1.162188202118023643e-02
5.000000000000000000e-01 1.417474162926804695e+02 1.143833411880179098e-02
5.000000000000000000e-01 1.450828778495940128e+02 1.140810552315242067e-02
5.000000000000000000e-01 1.484968262254465117e+02 1.156918808316046397e-02
5.000000000000000000e-01 1.519911082952933157e+02 1.111526601076074511e-02
5.000000000000000000e-01 1.555676143930472222e+02 1.032928972872601200e-02
5.000000000000000000e-01 1.592282793341092315e+02 9.427059707843465919e-03
5.000000000000000000e-01 1.629750834620643332e+02 9.047839569554985001e-03
5.000000000000000000e-01 1.668100537200059250e+02 8.921721347129546106e-03
5.000000000000000000e-01 1.707352647470690385e+02 8.850022868413026308e-03
5.000000000000000000e-01 1.747528400007682876e+02 8.776580025139703659e-03
5.000000000000000000e-01 1.788649529057435075e+02 8.722497518144377293e-03
5.000000000000000000e-01 1.830738280295367701e+02 8.683481350549292557e-03
5.000000000000000000e-01 1.873817422860383033e+02 8.662295421645619872e-03
5.000000000000000000e-01 1.917910261672488730e+02 8.639978016761817176e-03
5.000000000000000000e-01 1.963040650040270521e+02 8.624541231924905821e-03
5.000000000000000000e-01 2.009233002565045751e+02 8.616260434447128164e-03
5.000000000000000000e-01 2.056512308348651459e+02 8.616263752343112162e-03
5.000000000000000000e-01 2.104904144512019570e+02 8.606187903680184020e-03
5.000000000000000000e-01 2.154434690031882269e+02 8.606190941633874714e-03
5.000000000000000000e-01 2.205130739903045480e+02 8.612934538067086587e-03
5.000000000000000000e-01 2.257019719633919124e+02 8.612937355144784438e-03
5.000000000000000000e-01 2.310129700083157900e+02 8.612940044682323298e-03
5.000000000000000000e-01 2.364489412645407072e+02 8.626087493994325645e-03
5.000000000000000000e-01 2.420128264794381039e+02 8.626089961628750566e-03
5.000000000000000000e-01 2.477076355991711409e+02 8.643907764830819490e-03
5.000000000000000000e-01 2.535364493970111255e+02 8.643910026682669404e-03
5.000000000000000000e-01 2.595024211399737055e+02 8.643912186017795041e-03
5.000000000000000000e-01 2.656087782946686957e+02 8.663071120255659216e-03
5.000000000000000000e-01 2.718588242732940330e+02 8.663073095952428596e-03
5.000000000000000000e-01 2.782559402207126027e+02 8.681686930086975409e-03
5.000000000000000000e-01 2.848035868435802058e+02 8.681688732094022462e-03
5.000000000000000000e-01 2.915053062825175516e+02 8.681690452364916946e-03
5.000000000000000000e-01 2.983647240283340238e+02 8.699728881108490311e-03
5.000000000000000000e-01 3.053855508833415229e+02 8.699730448643003961e-03
5.000000000000000000e-01 3.125715849688235153e+02 8.715586184605267697e-03
5.000000000000000000e-01 3.199267137797384635e+02 8.715587611834354348e-03
5.000000000000000000e-01 3.274549162877728463e+02 8.729529821293022934e-03
5.000000000000000000e-01 3.351602650938841066e+02 8.729531120953081327e-03
5.000000000000000000e-01 3.430469286314919373e+02 8.729532361621758496e-03
5.000000000000000000e-01 3.511191734215130964e+02 8.741403551141415512e-03
5.000000000000000000e-01 3.593813663804625662e+02 8.741404681119179648e-03
5.000000000000000000e-01 3.678379771828634262e+02 8.751065356871987402e-03
5.000000000000000000e-01 3.764935806792467474e+02 8.751066386187564619e-03
5.000000000000000000e-01 3.853528593710527161e+02 8.751067368767424109e-03
5.000000000000000000e-01 3.944206059437656222e+02 8.757589298556718929e-03
5.000000000000000000e-01 4.037017258596553688e+02 8.757590192868492870e-03
5.000000000000000000e-01 4.132012400115334572e+02 8.761988591532649320e-03
5.000000000000000000e-01 4.229242874389498752e+02 8.761989405596363328e-03
5.000000000000000000e-01 4.328761281083056929e+02 8.761990182688944584e-03
5.000000000000000000e-01 4.430621457583877714e+02 8.764413809291110233e-03
5.000000000000000000e-01 4.534878508128581984e+02 8.764414516758583726e-03
5.000000000000000000e-01 4.641588833612777307e+02 8.764775829599799270e-03
5.000000000000000000e-01 4.750810162102798131e+02 8.764776473624086295e-03
5.000000000000000000e-01 4.862601580065353346e+02 8.764777088394473670e-03
