M_GeV T_GeV <S1>/T
2.000000000000000000e+04 2.205130739903045480e+02 1.804370827224659468e+00
2.000000000000000000e+04 2.257019719633919124e+02 1.762888264858732956e+00
2.000000000000000000e+04 2.310129700083157900e+02 1.722359388372936673e+00
2.000000000000000000e+04 2.364489412645407072e+02 1.682762272488161681e+00
2.000000000000000000e+04 2.420128264794381039e+02 1.644075495988406521e+00
2.000000000000000000e+04 2.477076355991711409e+02 1.606278130132334780e+00
2.000000000000000000e+04 2.535364493970111255e+02 1.569349727331272426e+00
2.000000000000000000e+04 2.595024211399737055e+02 1.533270310087476274e+00
2.000000000000000000e+04 2.656087782946686957e+02 1.498020360186735456e+00
2.000000000000000000e+04 2.718588242732940330e+02 1.463580808139412825e+00
2.000000000000000000e+04 2.782559402207126027e+02 1.429933022864252612e+00
2.000000000000000000e+04 2.848035868435802058e+02 1.397058801609356138e+00
2.000000000000000000e+04 2.915053062825175516e+02 1.364940360104864414e+00
2.000000000000000000e+04 2.983647240283340238e+02 1.333560322942042076e+00
2.000000000000000000e+04 3.053855508833415229e+02 1.302901714173546166e+00
2.000000000000000000e+04 3.125715849688235153e+02 1.272947948129784068e+00
2.000000000000000000e+04 3.199267137797384635e+02 1.243682820446415871e+00
2.000000000000000000e+04 3.274549162877728463e+02 1.215090499298133286e+00
2.000000000000000000e+04 3.351602650938841066e+02 1.187155516833964031e+00
2.000000000000000000e+04 3.430469286314919373e+02 1.159862760809490023e+00
2.000000000000000000e+04 3.511191734215130964e+02 1.133197466411441923e+00
2.000000000000000000e+04 3.593813663804625662e+02 1.107145208270233550e+00
2.000000000000000000e+04 3.678379771828634262e+02 1.081691892656142073e+00
2.000000000000000000e+04 3.764935806792467474e+02 1.056823749854896022e+00
2.000000000000000000e+04 3.853528593710527161e+02 1.032527326718539529e+00
2.000000000000000000e+04 3.944206059437656222e+02 1.008789479387562693e+00
2.000000000000000000e+04 4.037017258596553688e+02 9.855973661803507646e-01
2.000000000000000000e+04 4.132012400115334572e+02 9.629384406460937962e-01
2.000000000000000000e+04 4.229242874389498752e+02 9.408004447774220846e-01
2.000000000000000000e+04 4.328761281083056929e+02 9.191714023790815702e-01
2.000000000000000000e+04 4.430621457583877714e+02 8.980396125890559578e-01
2.000000000000000000e+04 4.534878508128581984e+02 8.773936435486456853e-01
2.000000000000000000e+04 4.641588833612777307e+02 8.572223262180744818e-01
