M_GeV T_GeV <g0>/T
1.000000000000000000e+00 1.047615752789664043e+02 2.290252755435247256e-02
1.000000000000000000e+00 1.072267222010323167e+02 2.200710048859777501e-02
1.000000000000000000e+00 1.097498765493055686e+02 2.112404705791454812e-02
1.000000000000000000e+00 1.123324032978026565e+02 2.028087427318515587e-02
1.000000000000000000e+00 1.149756995397735579e+02 1.949702756843989249e-02
1.000000000000000000e+00 1.176811952434997863e+02 1.879357019761293893e-02
1.000000000000000000e+00 1.204503540258782408e+02 1.816694152889359107e-02
1.000000000000000000e+00 1.232846739442065882e+02 1.760720566361295009e-02
1.000000000000000000e+00 1.261856883066019748e+02 1.712254038115375299e-02
1.000000000000000000e+00 1.291549665014883885e+02 1.666512241727916357e-02
1.000000000000000000e+00 1.321941148466028721e+02 1.625353519230605254e-02
1.000000000000000000e+00 1.353047774579807481e+02 1.588915460646718111e-02
1.000000000000000000e+00 1.384886371393873219e+02 1.559977103908673397e-02
1.000000000000000000e+00 1.417474162926804695e+02 1.531565929137290900e-02
1.000000000000000000e+00 1.450828778495940128e+02 1.525688201483574834e-02
1.000000000000000000e+00 1.484968262254465117e+02 1.547829580555044708e-02
1.000000000000000000e+00 1.519911082952933157e+02 1.484808358479376353e-02
1.000000000000000000e+00 1.555676143930472222e+02 1.379371364292304031e-02
1.000000000000000000e+00 1.592282793341092315e+02 1.269366517126146489e-02
1.000000000000000000e+00 1.629750834620643332e+02 1.153314418404120106e-02
1.000000000000000000e+00 1.668100537200059250e+02 1.100172013714701552e-02
1.000000000000000000e+00 1.707352647470690385e+02 1.090695211614240399e-02
1.000000000000000000e+00 1.747528400007682876e+02 1.081311551423370584e-02
1.000000000000000000e+00 1.788649529057435075e+02 1.074765347632334993e-02
1.000000000000000000e+00 1.830738280295367701e+02 1.070434977790180042e-02
1.000000000000000000e+00 1.873817422860383033e+02 1.068383680425523223e-02
1.000000000000000000e+00 1.917910261672488730e+02 1.066389167255753570e-02
1.000000000000000000e+00 1.963040650040270521e+02 1.065344176109931859e-02
1.000000000000000000e+00 2.009233002565045751e+02 1.064990003288264833e-02
1.000000000000000000e+00 2.056512308348651459e+02 1.064992711313011813e-02
1.000000000000000000e+00 2.104904144512019855e+02 1.066036075031065282e-02
1.000000000000000000e+00 2.154434690031882269e+02 1.066038564060785981e-02
1.000000000000000000e+00 2.205130739903045480e+02 1.069366429518309874e-02
1.000000000000000000e+00 2.257019719633919124e+02 1.069368744194512839e-02
1.000000000000000000e+00 2.310129700083157900e+02 1.069370955191958558e-02
1.000000000000000000e+00 2.364489412645407072e+02 1.073301261802572619e-02
1.000000000000000000e+00 2.420128264794381039e+02 1.073303295108833481e-02
1.000000000000000000e+00 2.477076355991711409e+02 1.077719811732491713e-02
1.000000000000000000e+00 2.535364493970111539e+02 1.077721679248080412e-02
1.000000000000000000e+00 2.595024211399737055e+02 1.077723462771373875e-02
1.000000000000000000e+00 2.656087782946686957e+02 1.082135783963921426e-02
1.000000000000000000e+00 2.718588242732940330e+02 1.082137418591899020e-02
1.000000000000000000e+00 2.782559402207126027e+02 1.086243603245769934e-02
1.000000000000000000e+00 2.848035868435802058e+02 1.086245096357632209e-02
1.000000000000000000e+00 2.915053062825175516e+02 1.086246522128359038e-02
1.000000000000000000e+00 2.983647240283340238e+02 1.090095364241849135e-02
1.000000000000000000e+00 3.053855508833415797e+02 1.090096665035074873e-02
1.000000000000000000e+00 3.125715849688235153e+02 1.093483230281346898e-02
1.000000000000000000e+00 3.199267137797384635e+02 1.093484415910324185e-02
1.000000000000000000e+00 3.274549162877728463e+02 1.096493694066786283e-02
1.000000000000000000e+00 3.351602650938841066e+02 1.096494774726814586e-02
1.000000000000000000e+00 3.430469286314919373e+02 1.096495806521446265e-02
1.000000000000000000e+00 3.511191734215130964e+02 1.099119221117828352e-02
1.000000000000000000e+00 3.593813663804625662e+02 1.099120161602524549e-02
1.000000000000000000e+00 3.678379771828634262e+02 1.101346118446910188e-02
1.000000000000000000e+00 3.764935806792467474e+02 1.101346975741908200e-02
1.000000000000000000e+00 3.853528593710527161e+02 1.101347794224108619e-02
1.000000000000000000e+00 3.944206059437656222e+02 1.103011345915021202e-02
1.000000000000000000e+00 4.037017258596553688e+02 1.103012091298012469e-02
1.000000000000000000e+00 4.132012400115334572e+02 1.104308197897395892e-02
1.000000000000000000e+00 4.229242874389498752e+02 1.104308876734520252e-02
1.000000000000000000e+00 4.328761281083056929e+02 1.104309524810586501e-02
1.000000000000000000e+00 4.430621457583877714e+02 1.105268801505256138e-02
1.000000000000000000e+00 4.534878508128581984e+02 1.105269391765423270e-02
1.000000000000000000e+00 4.641588833612777307e+02 1.105876361470349047e-02
1.000000000000000000e+00 4.750810162102798131e+02 1.105876898994717812e-02
1.000000000000000000e+00 4.862601580065353346e+02 1.105877412145055659e-02
1.000000000000000000e+00 4.977023564332108663e+02 1.106181096554071860e-02
1.000000000000000000e+00 5.094138014816380178e+02 1.106181563870885405e-02
1.000000000000000000e+00 5.214008287999683944e+02 1.106225500812020243e-02
1.000000000000000000e+00 5.336699231206307559e+02 1.106225926407035029e-02
1.000000000000000000e+00 5.462277217684342077e+02 1.106226332693548663e-02
1.000000000000000000e+00 5.590810182512223037e+02 1.106034281218657572e-02
1.000000000000000000e+00 5.722367659350220492e+02 1.106034651254931070e-02
1.000000000000000000e+00 5.857020818056666940e+02 1.105629006634091180e-02
1.000000000000000000e+00 5.994842503189408944e+02 1.105629343666541739e-02
1.000000000000000000e+00 6.135907273413175744e+02 1.105629665402390639e-02
1.000000000000000000e+00 6.280291441834252737e+02 1.105030958983439261e-02
1.000000000000000000e+00 6.428073117284319551e+02 1.105031252037285555e-02
1.000000000000000000e+00 6.579332246575681893e+02 1.104260002421594659e-02
1.000000000000000000e+00 6.734150657750820983e+02 1.104260269353233778e-02
1.000000000000000000e+00 6.892612104349694846e+02 1.104260524166181950e-02
1.000000000000000000e+00 7.054802310718645231e+02 1.103335116889105072e-02
1.000000000000000000e+00 7.220809018385464242e+02 1.103335349000162877e-02
1.000000000000000000e+00 7.390722033525775032e+02 1.102273823449633275e-02
1.000000000000000000e+00 7.564633275546290179e+02 1.102274034886642148e-02
1.000000000000000000e+00 7.742636826811269657e+02 1.102274236722131963e-02
1.000000000000000000e+00 7.924828983539169940e+02 1.101090394474371452e-02
1.000000000000000000e+00 8.111308307896872520e+02 1.101090578334576291e-02
1.000000000000000000e+00 8.302175681319744172e+02 1.099799567263204901e-02
1.000000000000000000e+00 8.497534359086438371e+02 1.099799734749362136e-02
1.000000000000000000e+00 8.697490026177833897e+02 1.099799894628424902e-02
1.000000000000000000e+00 8.902150854450383122e+02 1.098414730588602797e-02
1.000000000000000000e+00 9.111627561154896284e+02 1.098414876232360615e-02
1.000000000000000000e+00 9.326033468832199560e+02 1.096946570336130612e-02
1.000000000000000000e+00 9.545484566618337112e+02 1.096946703012565034e-02
1.000000000000000000e+00 9.770099572992256753e+02 1.096946829662057837e-02
1.000000000000000000e+00 1.000000000000000000e+03 1.095408203074667471e-02
1.000000000000000000e+00 1.000000000000000000e+03 1.095408203074667471e-02
1.000000000000000000e+00 1.097498765493055544e+03 1.093805619143503258e-02
1.000000000000000000e+00 1.204503540258781186e+03 1.090447392660270041e-02
1.000000000000000000e+00 1.321941148466028608e+03 1.086929765289835689e-02
1.000000000000000000e+00 1.450828778495938650e+03 1.085126101338545340e-02
1.000000000000000000e+00 1.592282793341090610e+03 1.081454499598831151e-02
1.000000000000000000e+00 1.747528400007682876e+03 1.079593998989184997e-02
1.000000000000000000e+00 1.917910261672486740e+03 1.075841259011590945e-02
1.000000000000000000e+00 2.104904144512019684e+03 1.072063178730212583e-02
1.000000000000000000e+00 2.310129700083158241e+03 1.070170646318964122e-02
1.000000000000000000e+00 2.535364493970108924e+03 1.066387183463674525e-02
1.000000000000000000e+00 2.782559402207123185e+03 1.064499628556083224e-02
1.000000000000000000e+00 3.053855508833412387e+03 1.060738476178501796e-02
1.000000000000000000e+00 3.351602650938840725e+03 1.056972728238211173e-02
1.000000000000000000e+00 3.678379771828630510e+03 1.055099180523714521e-02
1.000000000000000000e+00 4.037017258596553802e+03 1.051377697972849523e-02
1.000000000000000000e+00 4.430621457583877600e+03 1.047693223913177644e-02
1.000000000000000000e+00 4.862601580065348571e+03 1.045866681149071678e-02
1.000000000000000000e+00 5.336699231206307559e+03 1.042244215651563603e-02
1.000000000000000000e+00 5.857020818056661483e+03 1.040448900356309367e-02
1.000000000000000000e+00 6.428073117284318869e+03 1.036892202518103351e-02
1.000000000000000000e+00 7.054802310718638182e+03 1.033379015150758841e-02
1.000000000000000000e+00 7.742636826811270112e+03 1.031610605313112473e-02
1.000000000000000000e+00 8.497534359086437689e+03 1.028101971230000605e-02
1.000000000000000000e+00 9.326033468832189101e+03 1.026364769973661141e-02
1.000000000000000000e+00 1.023531021899026928e+04 1.022924321199824606e-02
1.000000000000000000e+00 1.123324032978026480e+04 1.019530399746297958e-02
