M_GeV T_GeV <hindp>/T
7.000000000000000000e+04 8.111308307896872520e+02 0.000000000000000000e+00
7.000000000000000000e+04 8.302175681319744172e+02 0.000000000000000000e+00
7.000000000000000000e+04 8.497534359086438371e+02 0.000000000000000000e+00
7.000000000000000000e+04 8.697490026177833897e+02 0.000000000000000000e+00
7.000000000000000000e+04 8.902150854450383122e+02 0.000000000000000000e+00
7.000000000000000000e+04 9.111627561154896284e+02 0.000000000000000000e+00
7.000000000000000000e+04 9.326033468832199560e+02 0.000000000000000000e+00
7.000000000000000000e+04 9.545484566618337112e+02 0.000000000000000000e+00
7.000000000000000000e+04 9.770099572992256753e+02 0.000000000000000000e+00
7.000000000000000000e+04 1.000000000000000000e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.000000000000000000e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.097498765493055544e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.204503540258781186e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.321941148466028608e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.450828778495938650e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.592282793341090610e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.747528400007682876e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.917910261672486740e+03 0.000000000000000000e+00
7.000000000000000000e+04 2.104904144512019684e+03 0.000000000000000000e+00
7.000000000000000000e+04 2.310129700083158241e+03 0.000000000000000000e+00
7.000000000000000000e+04 2.535364493970108924e+03 0.000000000000000000e+00
7.000000000000000000e+04 2.782559402207123185e+03 0.000000000000000000e+00
7.000000000000000000e+04 3.053855508833412387e+03 0.000000000000000000e+00
7.000000000000000000e+04 3.351602650938840725e+03 0.000000000000000000e+00
7.000000000000000000e+04 3.678379771828630510e+03 0.000000000000000000e+00
7.000000000000000000e+04 4.037017258596553802e+03 0.000000000000000000e+00
7.000000000000000000e+04 4.430621457583877600e+03 0.000000000000000000e+00
7.000000000000000000e+04 4.862601580065348571e+03 0.000000000000000000e+00
7.000000000000000000e+04 5.336699231206307559e+03 0.000000000000000000e+00
7.000000000000000000e+04 5.857020818056661483e+03 0.000000000000000000e+00
7.000000000000000000e+04 6.428073117284318869e+03 0.000000000000000000e+00
7.000000000000000000e+04 7.054802310718638182e+03 0.000000000000000000e+00
7.000000000000000000e+04 7.742636826811270112e+03 0.000000000000000000e+00
7.000000000000000000e+04 8.497534359086437689e+03 0.000000000000000000e+00
7.000000000000000000e+04 9.326033468832189101e+03 0.000000000000000000e+00
7.000000000000000000e+04 1.023531021899026928e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.123324032978026480e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.232846739442065882e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.353047774579807628e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.484968262254463480e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.629750834620643400e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.788649529057435211e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.963040650040268520e+04 0.000000000000000000e+00
7.000000000000000000e+04 2.154434690031882201e+04 0.000000000000000000e+00
7.000000000000000000e+04 2.364489412645407356e+04 0.000000000000000000e+00
7.000000000000000000e+04 2.595024211399731939e+04 0.000000000000000000e+00
7.000000000000000000e+04 2.848035868435799057e+04 0.000000000000000000e+00
7.000000000000000000e+04 3.125715849688235176e+04 0.000000000000000000e+00
7.000000000000000000e+04 3.430469286314912461e+04 0.000000000000000000e+00
7.000000000000000000e+04 3.764935806792470976e+04 0.000000000000000000e+00
7.000000000000000000e+04 4.132012400115334458e+04 0.000000000000000000e+00
7.000000000000000000e+04 4.534878508128582325e+04 0.000000000000000000e+00
7.000000000000000000e+04 4.977023564332113892e+04 0.000000000000000000e+00
7.000000000000000000e+04 5.462277217684336938e+04 0.000000000000000000e+00
7.000000000000000000e+04 5.994842503189409035e+04 0.000000000000000000e+00
7.000000000000000000e+04 6.579332246575682075e+04 0.000000000000000000e+00
7.000000000000000000e+04 7.220809018385456875e+04 0.000000000000000000e+00
7.000000000000000000e+04 7.924828983539169712e+04 0.000000000000000000e+00
7.000000000000000000e+04 8.697490026177834079e+04 0.000000000000000000e+00
7.000000000000000000e+04 9.545484566618327517e+04 0.000000000000000000e+00
7.000000000000000000e+04 1.047615752789664111e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.149756995397735591e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.261856883066018490e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.384886371393871668e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.519911082952933211e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.668100537200059043e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.830738280295369623e+05 0.000000000000000000e+00
7.000000000000000000e+04 2.009233002565045899e+05 0.000000000000000000e+00
7.000000000000000000e+04 2.205130739903045760e+05 0.000000000000000000e+00
7.000000000000000000e+04 2.420128264794383431e+05 0.000000000000000000e+00
7.000000000000000000e+04 2.656087782946684165e+05 0.000000000000000000e+00
7.000000000000000000e+04 2.915053062825175584e+05 0.000000000000000000e+00
7.000000000000000000e+04 3.199267137797384639e+05 0.000000000000000000e+00
7.000000000000000000e+04 3.511191734215127653e+05 0.000000000000000000e+00
7.000000000000000000e+04 3.853528593710527639e+05 0.000000000000000000e+00
7.000000000000000000e+04 4.229242874389499193e+05 0.000000000000000000e+00
7.000000000000000000e+04 4.641588833612772287e+05 0.000000000000000000e+00
7.000000000000000000e+04 5.094138014816375216e+05 0.000000000000000000e+00
7.000000000000000000e+04 5.590810182512222091e+05 0.000000000000000000e+00
7.000000000000000000e+04 6.135907273413175717e+05 0.000000000000000000e+00
7.000000000000000000e+04 6.734150657750827959e+05 0.000000000000000000e+00
7.000000000000000000e+04 7.390722033525775187e+05 0.000000000000000000e+00
7.000000000000000000e+04 8.111308307896872284e+05 0.000000000000000000e+00
7.000000000000000000e+04 8.902150854450393235e+05 0.000000000000000000e+00
7.000000000000000000e+04 9.770099572992246831e+05 0.000000000000000000e+00
7.000000000000000000e+04 1.072267222010323079e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.176811952434999170e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.291549665014882805e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.417474162926804740e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.555676143930472201e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.707352647470688680e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.873817422860383056e+06 0.000000000000000000e+00
7.000000000000000000e+04 2.056512308348651510e+06 0.000000000000000000e+00
7.000000000000000000e+04 2.257019719633921515e+06 0.000000000000000000e+00
7.000000000000000000e+04 2.477076355991709046e+06 0.000000000000000000e+00
7.000000000000000000e+04 2.718588242732940242e+06 0.000000000000000000e+00
